City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
324,Vallenar,CL,clear sky,56.75,-28.57,-70.76,Humacao Bed & Breakfast
326,Teguise,ES,clear sky,73.4,29.06,-13.56,B&B La Casona de Nazaret
328,Marsaxlokk,MT,few clouds,64.0,35.84,14.54,Water's Edge
329,Alofi,NU,light rain,78.8,-19.06,-169.92,Taloa Heights
330,Esperance,AU,overcast clouds,78.8,-33.87,121.9,Hospitality Esperance
332,Sola,VU,overcast clouds,81.5,-13.88,167.55,Ulkel Guest House
335,Bathsheba,BB,shower rain,80.6,13.22,-59.52,Atlantis Hotel
336,Carnarvon,AU,broken clouds,77.0,-24.87,113.63,Hospitality Carnarvon
337,Sirūr,IN,clear sky,76.66,18.83,74.38,Hotel Sangram Palace
339,Plettenberg Bay,ZA,clear sky,56.28,-34.05,23.37,Thanda Vista B&B
342,Kinston,US,clear sky,52.0,35.26,-77.58,Hampton Inn Kinston
344,Huarmey,PE,broken clouds,61.2,-10.07,-78.15,Hotel Miramar
345,Casino,AU,clear sky,84.2,-28.87,153.05,Squatters Homestead Motel
346,Hurricane,US,clear sky,66.2,37.18,-113.29,Super 8 by Wyndham Hurricane Zion National Park
347,Bodden Town,KY,broken clouds,84.2,19.28,-81.25,Will T Place
348,Silver City,US,clear sky,57.99,32.77,-108.28,Copper Manor Motel
349,Russell,US,overcast clouds,60.8,32.35,-85.2,Macs
350,Tuatapere,NZ,overcast clouds,55.0,-46.13,167.68,Ron and Tony's Bed & Breakfast
351,Kaoma,ZM,clear sky,66.88,-14.78,24.8,KAOMA AIRPORT
352,Bengkulu,ID,overcast clouds,83.35,-3.8,102.27,Grage Hotel Bengkulu
353,Christchurch,NZ,clear sky,62.6,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
356,Dodge City,US,clear sky,51.8,37.75,-100.02,Windsor Inn & Suites
357,Waddān,LY,clear sky,57.51,29.16,16.14,محل الشريف محمد العايب
358,Hongjiang,CN,overcast clouds,59.92,27.11,110.0,洪江大酒店
359,Mutare,ZW,broken clouds,59.81,-18.97,32.67,Ann Bruce Backpackers
360,Kutum,SD,few clouds,70.34,14.2,24.67,Dibbo areaمنطقة دبو
361,Kirakira,SB,light rain,85.93,-10.45,161.92,SanBiz Lodge
362,Toro,CO,light rain,67.42,4.61,-76.08,ChiloRanch Adventure
364,Waipawa,NZ,clear sky,64.4,-41.41,175.52,Tora Coastal Walk
365,Linqiong,CN,overcast clouds,64.99,30.42,103.46,Tianlun Tanxianglou Hotel
366,Redlands,US,broken clouds,80.6,34.06,-117.18,Dynasty Suites Redlands
367,Fivizzano,IT,broken clouds,60.01,44.24,10.13,Encanto Di Arlia
369,Vila,PT,overcast clouds,59.0,42.03,-8.16,Hotel Castrum Villae
370,Cockburn Town,TC,broken clouds,82.63,21.46,-71.14,Osprey Beach Hotel
371,Padang,ID,overcast clouds,78.19,-0.95,100.35,Mercure Padang
372,Ponta Delgada,PT,broken clouds,68.0,37.73,-25.67,Vila Nova Hotel
375,Areosa,PT,overcast clouds,64.0,41.72,-8.86,Hotel Flôr de Sal
376,Maragogi,BR,overcast clouds,76.42,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
